"Name","Category","RecommendedAction","Rationale","Bytes"
"pore_pressure_boundary_production_design.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","7749"
"porepress_restart_plan.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","12621"
"pre_gpu_automation_status.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","5890"
"pre_gpu_readiness_check.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","5052"
"reference_ingestion_status.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","3809"
"review_1d_consolidation_stability.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","16853"
"scenario1_staged_workflow_plan.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","5925"
"selfweight_scenario2_validation_milestone.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","2644"
"sensitive_clay_model_plan.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","5125"
"softening_development_final_report.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","6922"
"softening_development_run_log.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","1245"
"softening_implementation_plan.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","5961"
"softening_model_audit.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","5680"
"softening_model_gap_decision.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","10467"
"supporting_information_implementation_notes.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","9877"
"t1_triaxial_case_audit.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","3651"
"t1_undrained_triaxial_baseline_design.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","2730"
"t1_undrained_triaxial_baseline_report.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","4723"
"t2_initial_confinement_strategy.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","3287"
"t2_kernel_completeness_fi_diagnostic_design.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","3886"
"t2_triaxial_lateral_selection_design.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","4321"
"t2_zhao_confinement_requirements.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","6157"
"t2_zhao_confinement_source_audit.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","5567"
"t3_flexible_confinement_diagnostic_implementation_report.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","3988"
"t3_flexible_confinement_diagnostics_report.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","4877"
"t3_flexible_confinement_implementation_plan.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","3755"
"t4_triaxial_output_field_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","5860"
"t4_triaxial_stress_path_postprocessing_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","6381"
"t4b_triaxial_output_enhancement_plan.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2595"
"t4b_zhao_confinement_refinement_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","5073"
"t4b_zhao_renormalized_gradient_source_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4215"
"t4c_selected_confinement_stabilization_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3206"
"t4c_triaxial_loading_stability_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3958"
"t4c_triaxial_loading_stabilization_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4391"
"t4d_confinement_equilibration_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4149"
"t4d_confinement_instability_decomposition_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4289"
"t4d_confining_stress_magnitude_normalization_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4173"
"t4e_feedback_gated_confinement_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4960"
"t4e_feedback_gating_source_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3142"
"t4f_feedback_stabilization_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2896"
"t4f_feedback_stabilization_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4506"
"t4f_porepressure_feedback_operator_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3256"
"t4g_feedback_formulation_audit_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","5031"
"t4g_feedback_formulation_source_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4709"
"t4g_feedback_physical_consistency_notes.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3823"
"t4h_corrected_feedback_gradient_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4415"
"t4h_corrected_feedback_gradient_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","5072"
"t4i_current_feedback_source_mapping.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","6280"
"t4i_initial_confinement_before_feedback_plan.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3924"
"t4i_original_upw_feedback_operator_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","6160"
"t4i_paper_faithful_feedback_route.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4356"
"t4i_zhao_confinement_coupling_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","5736"
"t4j_feedback_fidelity_implementation_plan.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4701"
"t4j_paper_style_feedback_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4058"
"t4j_paper_style_feedback_source_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3188"
"t4k_initial_hydrostatic_confinement_plan.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3140"
"t4k_initial_hydrostatic_confinement_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4960"
"t4k_initial_hydrostatic_stress_source_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3635"
"t4l_cap_hydrostatic_support_source_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3928"
"t4l_full_hydrostatic_confinement_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3013"
"t4l_full_hydrostatic_confinement_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4162"
"t4m_all_surface_isotropic_confinement_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4366"
"t4m_hydrostatic_equilibrium_failure_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3160"
"t4m_zhao_all_surface_confinement_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2412"
"t4n_selector_switch_source_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2192"
"t4n_staged_confinement_switch_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","1640"
"t4n_staged_confinement_switch_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3942"
"t4n1_next_step_recommendation.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3533"
"t4n1_ramped_selector_transition_decision.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4200"
"t4n1_staging_treatment_classification.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4371"
"t4n1_upw_stabilization_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","5639"
"t4n1_zhao_confinement_staging_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","7168"
"t4n2_restart_equilibrium_audit_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","5670"
"t4n2_restart_staged_confinement_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2446"
"t4n2_restart_state_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3417"
"t4o_cap_support_preserving_staged_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2873"
"t4o_cap_support_staged_loading_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4935"
"t4o_cap_support_transition_rationale.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3972"
"t4p_cap_boundary_source_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4279"
"t4p_cap_support_failure_interpretation.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","1937"
"t4p_current_triaxial_cap_group_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3870"
"t4p_triaxial_platen_workflow_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2821"
"t4p_zhao_cap_platen_boundary_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4773"
"t4q_existing_platen_boundary_capability_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4034"
"t4q_platen_boundary_implementation_plan.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3137"
"t4q_platen_boundary_workflow_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","5412"
"t4q_platen_source_patch_plan.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2040"
"t4q_triaxial_platen_grouping_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2924"
"t4r_platen_reaction_diagnostics_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","5779"
"t4r_platen_reaction_source_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4017"
"t4r_reaction_stress_diagnostics_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3155"
"t4s_platen_axial_baseline_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","6907"
"t4t_platen_reaction_diagnostic_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2604"
"t4t_true_platen_reaction_patch_plan.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2845"
"t4t_true_platen_reaction_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3417"
"t4t_true_platen_reaction_source_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3403"
"t5_dp_feedback_off_triaxial_baseline_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","6630"
"t5_dp_feedback_off_triaxial_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3544"
"t5b_dp_feedback_off_refinement_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2885"
"t5b_dp_feedback_off_refinement_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3793"
"t5c_dp_feedback_off_extended_response_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3622"
"t5c_dp_feedback_off_extended_response_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4204"
"t5d_dp_feedback_off_validation_package_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","5219"
"tint1_porepressure_time_integration_audit_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","6081"
"tint1_porepressure_time_integration_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","5395"
"tint1_porepressure_update_callchain_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","6819"
"tint1_upw_pr_time_integration_mapping.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4173"
"tint1_verlet_symplectic_stage_mapping.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","5164"
"tint1b_boundary_correction_stage_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3909"
"tint1b_feedback_stage_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2835"
"tint1b_porepressure_dt_stability_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2602"
"tint1b_porepressure_variable_dependency_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","7128"
"tint1b_pr_calculation_chain.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4495"
"tint1b_unified_porepressure_update_strategy.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3081"
"tint2_implementation_checklist.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3300"
"tint2_interface_constraint.md","KEEP_FINAL","Keep","Final package, registry, decision, or parameter documentation","2965"
"tint2_porepressure_endstep_update_report.md","KEEP_FINAL","Keep","Final package, registry, decision, or parameter documentation","6692"
"tint2_time_integration_interface_decision.md","KEEP_FINAL","Keep","Final package, registry, decision, or parameter documentation","2683"
"triaxial_constitutive_gap.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","2802"
"triaxial_loading_confinement_plan.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","5147"
"u_pw_parameters.md","KEEP_FINAL","Keep","Final package, registry, decision, or parameter documentation","67654"
"u_pw_sph_implementation_notes.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","24554"
"validation_section_selfweight_consolidation_draft.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","15255"
"validation_supplementary_notes.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","5342"
"zhao_flexible_confined_boundary_conditions_review.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","5112"
"zhao_flexible_confined_boundary_conditions_sph.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","99654"
